                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.95993,                0.56831,                0.98341,                0.83447,                0.74944,                0.80447,                0.52417,                  1.004,                0.61299,                  1.018,             0.00063676,             0.00063676,             0.00063676
                     58,                0.98056,                0.57835,                0.98221,                0.84758,                0.71302,                0.78177,                0.51061,                0.99866,                0.62273,                 1.0139,             0.00062262,             0.00062262,             0.00062262
                     59,                0.92204,                0.54919,                0.97555,                 0.8471,                0.71945,                 0.7821,                0.51232,                 1.0192,                0.63473,                 1.0204,             0.00060847,             0.00060847,             0.00060847
                     60,                0.96874,                 0.5664,                0.98306,                0.88329,                0.68935,                0.79971,                 0.5247,                 1.0148,                0.61039,                 1.0306,             0.00059432,             0.00059432,             0.00059432
                     61,                0.96365,                 0.5718,                0.98393,                0.75694,                0.75138,                0.78779,                0.50546,                 1.0411,                0.62594,                 1.0342,             0.00058017,             0.00058017,             0.00058017
                     62,                0.94559,                0.55527,                0.97424,                0.85587,                0.69693,                0.78247,                0.52104,                 1.0132,                0.62716,                 1.0236,             0.00056603,             0.00056603,             0.00056603
                     63,                0.92316,                0.55233,                 0.9761,                0.89222,                 0.6927,                0.79829,                0.51845,                 1.0227,                0.61439,                  1.038,             0.00055188,             0.00055188,             0.00055188
                     64,                0.96787,                0.55985,                0.98393,                0.82985,                0.76592,                0.79865,                0.51925,                 1.0208,                0.59243,                 1.0255,             0.00053773,             0.00053773,             0.00053773
                     65,                0.92923,                 0.5513,                0.97888,                0.72992,                 0.7355,                0.75652,                0.50203,                 1.0043,                 0.6288,                 1.0149,             0.00052359,             0.00052359,             0.00052359
                     66,                0.94776,                0.54349,                0.97515,                0.81901,                0.72854,                0.77008,                 0.5052,                 1.0173,                0.61725,                  1.024,             0.00050944,             0.00050944,             0.00050944
                     67,                0.94991,                0.54021,                 0.9647,                0.79753,                0.71521,                0.78975,                0.51733,                 1.0046,                0.61516,                 1.0197,             0.00049529,             0.00049529,             0.00049529
                     68,                0.92406,                0.54574,                0.97036,                0.84933,                0.72661,                0.81459,                 0.5278,                 1.0118,                0.59629,                 1.0205,             0.00048114,             0.00048114,             0.00048114
                     69,                0.94101,                 0.5444,                0.97609,                 0.9314,                0.69913,                0.82121,                0.53097,                 1.0312,                0.58974,                 1.0382,               0.000467,               0.000467,               0.000467
                     70,                 0.9141,                0.54092,                0.97239,                0.83339,                0.72607,                0.82029,                0.54554,                 1.0108,                0.62371,                 1.0228,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.9401,                0.53719,                0.96499,                0.72364,                0.79951,                0.79835,                0.51943,                 1.0291,                0.60307,                 1.0291,              0.0004387,              0.0004387,              0.0004387
